Customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST00001,268,4,384.18,2,4,4,244,Others
CUST00002,210,3,284.94,2,2,3,223,Others
CUST00003,116,6,570.17,3,5,5,355,Loyal Customers
CUST00004,243,3,287.02,2,2,3,223,Others
CUST00005,576,1,92.8,1,1,1,111,At-Risk
CUST00006,64,3,284.58,4,2,3,423,Potential Loyalists
CUST00007,59,4,384.78,4,4,4,444,High-Value Champions
CUST00008,225,4,386.91,2,4,5,245,Others
CUST00009,275,3,286.56,2,2,3,223,Others
CUST00010,567,2,191.23000000000002,1,1,2,112,At-Risk
CUST00011,531,1,92.8,1,1,1,111,At-Risk
CUST00012,402,1,95.89,1,1,1,111,At-Risk
CUST00013,108,6,570.88,4,5,5,455,High-Value Champions
CUST00014,54,6,570.38,4,5,5,455,High-Value Champions
CUST00015,240,5,471.47,2,5,5,255,Others
CUST00016,4,3,288.01,5,2,3,523,Potential Loyalists
CUST00017,9,3,280.27,5,2,2,522,Potential Loyalists
CUST00018,222,2,188.69,2,1,1,211,At-Risk
CUST00019,67,5,474.91999999999996,4,5,5,455,High-Value Champions
CUST00020,55,3,288.25,4,2,3,423,Potential Loyalists
CUST00021,292,3,288.92,2,2,4,224,Others
CUST00022,257,5,476.93,2,5,5,255,Others
CUST00023,396,2,192.5,1,1,2,112,At-Risk
CUST00024,187,2,192.11,3,1,2,312,One-Time Buyers
CUST00025,389,2,192.14,1,1,2,112,At-Risk
CUST00026,24,4,382.0,5,4,4,544,High-Value Champions
CUST00027,27,2,194.46,5,1,2,512,One-Time Buyers
CUST00028,215,2,188.69,2,1,1,211,At-Risk
CUST00029,361,2,192.45,1,1,2,112,At-Risk
CUST00030,206,2,193.48000000000002,2,1,2,212,At-Risk
CUST00031,260,2,190.92000000000002,2,1,2,212,At-Risk
CUST00032,56,3,287.57,4,2,3,423,Potential Loyalists
CUST00033,476,2,191.13,1,1,2,112,At-Risk
CUST00034,132,2,193.12,3,1,2,312,One-Time Buyers
CUST00035,169,2,191.23000000000002,3,1,2,312,One-Time Buyers
CUST00036,249,2,187.47,2,1,1,211,At-Risk
CUST00037,186,3,282.13,3,2,2,322,Others
CUST00038,180,3,285.92,3,2,3,323,Others
CUST00039,404,3,286.23,1,2,3,123,Others
CUST00040,50,6,568.8,4,5,5,455,High-Value Champions
CUST00041,138,3,289.59000000000003,3,2,4,324,Others
CUST00042,251,4,383.79,2,4,4,244,Others
CUST00043,59,4,382.56,4,4,4,444,High-Value Champions
CUST00044,124,3,286.14,3,2,3,323,Others
CUST00045,253,4,384.35,2,4,4,244,Others
CUST00046,88,2,192.14,4,1,2,412,One-Time Buyers
CUST00047,170,5,480.69,3,5,5,355,Loyal Customers
CUST00048,156,5,477.91,3,5,5,355,Loyal Customers
CUST00049,7,3,285.25,5,2,3,523,Potential Loyalists
CUST00050,260,2,189.05,2,1,1,211,At-Risk
CUST00051,5,5,479.45,5,5,5,555,High-Value Champions
CUST00052,590,2,189.05,1,1,1,111,At-Risk
CUST00053,50,4,376.8,4,4,4,444,High-Value Champions
CUST00054,5,5,477.02,5,5,5,555,High-Value Champions
CUST00055,5,4,382.77,5,4,4,544,High-Value Champions
CUST00056,273,3,288.39,2,2,3,223,Others
CUST00057,608,1,97.23,1,1,1,111,At-Risk
CUST00058,209,2,192.45,2,1,2,212,At-Risk
CUST00059,130,4,378.24,3,4,4,344,Loyal Customers
CUST00060,39,3,286.11,5,2,3,523,Potential Loyalists
CUST00061,295,4,384.9,2,4,4,244,Others
CUST00062,691,1,94.67,1,1,1,111,At-Risk
CUST00063,45,4,378.48,5,4,4,544,High-Value Champions
CUST00064,24,5,477.34000000000003,5,5,5,555,High-Value Champions
CUST00065,16,5,474.27,5,5,5,555,High-Value Champions
CUST00066,20,4,381.47,5,4,4,544,High-Value Champions
CUST00067,24,2,190.76999999999998,5,1,2,512,One-Time Buyers
CUST00068,500,4,379.25,1,4,4,144,Others
CUST00069,159,1,94.67,3,1,1,311,One-Time Buyers
CUST00070,95,3,286.56,4,2,3,423,Potential Loyalists
CUST00072,91,3,283.36,4,2,3,423,Potential Loyalists
CUST00074,121,4,379.12,3,4,4,344,Loyal Customers
CUST00076,84,1,95.89,4,1,1,411,One-Time Buyers
CUST00077,58,5,481.73,4,5,5,455,High-Value Champions
CUST00078,137,3,288.25,3,2,3,323,Others
CUST00079,247,4,384.35,2,4,4,244,Others
CUST00080,420,2,191.9,1,1,2,112,At-Risk
CUST00081,269,5,481.48,2,5,5,255,Others
CUST00082,368,2,191.01,1,1,2,112,At-Risk
CUST00083,102,7,667.92,4,5,5,455,High-Value Champions
CUST00084,157,3,287.93,3,2,3,323,Others
CUST00085,115,5,477.92,3,5,5,355,Loyal Customers
CUST00086,91,3,287.03,4,2,3,423,Potential Loyalists
CUST00087,71,3,289.9,4,2,4,424,Potential Loyalists
CUST00088,202,3,289.37,2,2,4,224,Others
CUST00089,124,2,193.48000000000002,3,1,2,312,One-Time Buyers
CUST00090,24,2,190.34,5,1,2,512,One-Time Buyers
CUST00091,273,3,290.04,2,2,4,224,Others
CUST00092,128,2,193.48000000000002,3,1,2,312,One-Time Buyers
CUST00093,193,4,380.9,3,4,4,344,Loyal Customers
CUST00094,498,2,187.47,1,1,1,111,At-Risk
CUST00095,193,8,765.49,3,5,5,355,Loyal Customers
CUST00096,74,4,383.15,4,4,4,444,High-Value Champions
CUST00097,179,2,190.56,3,1,2,312,One-Time Buyers
CUST00098,170,8,758.92,3,5,5,355,Loyal Customers
CUST00099,215,3,287.02,2,2,3,223,Others
CUST00100,90,1,96.56,4,1,1,411,One-Time Buyers
CUST00101,262,1,94.88,2,1,1,211,At-Risk
CUST00102,178,3,281.85,3,2,2,322,Others
CUST00103,91,6,570.23,4,5,5,455,High-Value Champions
CUST00104,9,6,568.95,5,5,5,555,High-Value Champions
CUST00105,7,3,284.7,5,2,3,523,Potential Loyalists
CUST00106,23,4,384.13,5,4,4,544,High-Value Champions
CUST00107,205,4,383.82,2,4,4,244,Others
CUST00108,289,2,187.68,2,1,1,211,At-Risk
CUST00109,2,4,382.45,5,4,4,544,High-Value Champions
CUST00110,56,4,374.72,4,4,4,444,High-Value Champions
CUST00111,181,3,284.7,3,2,3,323,Others
CUST00112,73,1,97.23,4,1,1,411,One-Time Buyers
CUST00113,152,2,187.47,3,1,1,311,One-Time Buyers
CUST00114,85,3,288.46000000000004,4,2,3,423,Potential Loyalists
CUST00115,56,7,667.08,4,5,5,455,High-Value Champions
CUST00117,384,2,189.05,1,1,1,111,At-Risk
CUST00118,18,3,284.22,5,2,3,523,Potential Loyalists
CUST00119,31,6,575.95,5,5,5,555,High-Value Champions
CUST00120,284,2,193.34,2,1,2,212,At-Risk
CUST00121,65,2,193.48000000000002,4,1,2,412,One-Time Buyers
CUST00122,223,3,280.27,2,2,2,222,At-Risk
CUST00123,103,2,189.32999999999998,4,1,1,411,One-Time Buyers
CUST00124,205,5,479.02,2,5,5,255,Others
CUST00125,43,5,476.84000000000003,5,5,5,555,High-Value Champions
CUST00126,7,2,193.34,5,1,2,512,One-Time Buyers
CUST00127,727,1,96.56,1,1,1,111,At-Risk
CUST00128,130,6,571.29,3,5,5,355,Loyal Customers
CUST00129,20,3,286.28,5,2,3,523,Potential Loyalists
CUST00130,215,4,385.38,2,4,4,244,Others
CUST00131,70,5,478.35,4,5,5,455,High-Value Champions
CUST00132,180,2,193.12,3,1,2,312,One-Time Buyers
